record_id,redcap_survey_identifier,welcome_timestamp,subid,assignment_id,study_id,welcome_complete,consent_timestamp,consent_1,consent_complete,demographics_timestamp,gender,other_gender,age,country_born,other_country,years_in_us,years,occupation,race___1,race___2,race___3,race___4,race___5,race___6,race___7,demographics_complete,instructions_timestamp,understand_instructions,confidence,instructions_complete,game_timestamp,game_complete,participant_ratings_timestamp,mead_name,clr_accordion_2,exp_accordion_2,lrg_accordion_2,clr_apple_2,exp_apple_2,lrg_apple_2,clr_apple_4,exp_apple_4,lrg_apple_4,clr_asian_05,exp_asian_05,lrg_asian_05,clr_bacon_2,exp_bacon_2,lrg_bacon_2,clr_art_paintbrush_01,exp_art_paintbrush_01,lrg_art_paintbrush_01,clr_art_paintbrush_02,exp_art_paintbrush_02,lrg_art_paintbrush_02,clr_boombox_01,exp_boombox_01,lrg_boombox_01,clr_djembe_01,exp_djembe_01,lrg_djembe_01,clr_fountainpen_01,exp_fountainpen_01,lrg_fountainpen_01,clr_bagel_4,exp_bagel_4,lrg_bagel_4,clr_ball_05,exp_ball_05,lrg_ball_05,clr_goboard_01,exp_goboard_01,lrg_goboard_01,clr_banana_2,exp_banana_2,lrg_banana_2,clr_beads_3,exp_beads_3,lrg_beads_3,clr_beads_4,exp_beads_4,lrg_beads_4,clr_berries_4,exp_berries_4,lrg_berries_4,clr_berries_05,exp_berries_05,lrg_berries_05,clr_bike_04,exp_bike_04,lrg_bike_04,clr_bike_05,exp_bike_05,lrg_bike_05,clr_bike_06,exp_bike_06,lrg_bike_06,clr_binocular_02,exp_binocular_02,lrg_binocular_02,clr_bowling_03,exp_bowling_03,lrg_bowling_03,clr_guitar_02,exp_guitar_02,lrg_guitar_02,clr_burger_01,exp_burger_01,lrg_burger_01,clr_burger_4,exp_burger_4,lrg_burger_4,clr_cam_corder_3,exp_cam_corder_3,lrg_cam_corder_3,clr_camera_3,exp_camera_3,lrg_camera_3,clr_camera_4,exp_camera_4,lrg_camera_4,clr_candy_2,exp_candy_2,lrg_candy_2,clr_chess_4,exp_chess_4,lrg_chess_4,clr_chicken_3,exp_chicken_3,lrg_chicken_3,clr_chips_01,exp_chips_01,lrg_chips_01,clr_chips_02,exp_chips_02,lrg_chips_02,clr_chocolate_2,exp_chocolate_2,lrg_chocolate_2,clr_chocolate_cake_1,exp_chocolate_cake_1,lrg_chocolate_cake_1,clr_chocolate3,exp_chocolate3,lrg_chocolate3,clr_chocolate6,exp_chocolate6,lrg_chocolate6,clr_jenga_01,exp_jenga_01,lrg_jenga_01,clr_keyboard_01,exp_keyboard_01,lrg_keyboard_01,clr_cone_1,exp_cone_1,lrg_cone_1,clr_cookie1,exp_cookie1,lrg_cookie1,clr_cookie3,exp_cookie3,lrg_cookie3,clr_cube_2,exp_cube_2,lrg_cube_2,clr_cupcake,exp_cupcake,lrg_cupcake,clr_dice_4,exp_dice_4,lrg_dice_4,clr_domino_3,exp_domino_3,lrg_domino_3,clr_drums_2,exp_drums_2,lrg_drums_2,clr_paintcan_01,exp_paintcan_01,lrg_paintcan_01,clr_fitness_04,exp_fitness_04,lrg_fitness_04,clr_fitness_07,exp_fitness_07,lrg_fitness_07,clr_fitness_08,exp_fitness_08,lrg_fitness_08,clr_frisbee_4,exp_frisbee_4,lrg_frisbee_4,clr_frisbee_5,exp_frisbee_5,lrg_frisbee_5,clr_green_beans_1,exp_green_beans_1,lrg_green_beans_1,clr_greens_01,exp_greens_01,lrg_greens_01,clr_greens_06,exp_greens_06,lrg_greens_06,clr_greens_07,exp_greens_07,lrg_greens_07,clr_guitar_5,exp_guitar_5,lrg_guitar_5,clr_saxophone_01,exp_saxophone_01,lrg_saxophone_01,clr_headphones_1,exp_headphones_1,lrg_headphones_1,clr_headphones_4,exp_headphones_4,lrg_headphones_4,clr_helicopter_1,exp_helicopter_1,lrg_helicopter_1,clr_ice_skates_6,exp_ice_skates_6,lrg_ice_skates_6,clr_sharpie_01,exp_sharpie_01,lrg_sharpie_01,clr_beignets_01,exp_beignets_01,lrg_beignets_01,clr_mac_cheese_01,exp_mac_cheese_01,lrg_mac_cheese_01,clr_chilidog_01,exp_chilidog_01,lrg_chilidog_01,clr_cremepuff_01,exp_cremepuff_01,lrg_cremepuff_01,clr_meat_01,exp_meat_01,lrg_meat_01,clr_microscope_3,exp_microscope_3,lrg_microscope_3,clr_mikado_3,exp_mikado_3,lrg_mikado_3,clr_muffin2,exp_muffin2,lrg_muffin2,clr_friedchicken_01,exp_friedchicken_01,lrg_friedchicken_01,clr_fruitsalad_01,exp_fruitsalad_01,lrg_fruitsalad_01,clr_jackfruit_01,exp_jackfruit_01,lrg_jackfruit_01,clr_jellyroll_01,exp_jellyroll_01,lrg_jellyroll_01,clr_notebook_6,exp_notebook_6,lrg_notebook_6,clr_notebook_7,exp_notebook_7,lrg_notebook_7,clr_oil_1,exp_oil_1,lrg_oil_1,clr_oil_5,exp_oil_5,lrg_oil_5,clr_paper_3,exp_paper_3,lrg_paper_3,clr_parfait_2,exp_parfait_2,lrg_parfait_2,clr_pencil_2,exp_pencil_2,lrg_pencil_2,clr_piano_3,exp_piano_3,lrg_piano_3,clr_piano_4,exp_piano_4,lrg_piano_4,clr_pie3,exp_pie3,lrg_pie3,clr_pizza_03,exp_pizza_03,lrg_pizza_03,clr_pizza_05,exp_pizza_05,lrg_pizza_05,clr_pokerchips_3,exp_pokerchips_3,lrg_pokerchips_3,clr_pomegranate_01,exp_pomegranate_01,lrg_pomegranate_01,clr_quinoa_01,exp_quinoa_01,lrg_quinoa_01,clr_radio_3,exp_radio_3,lrg_radio_3,clr_record_4,exp_record_4,lrg_record_4,clr_ribbon_4,exp_ribbon_4,lrg_ribbon_4,clr_onionrings_01,exp_onionrings_01,lrg_onionrings_01,clr_roller_skates_01,exp_roller_skates_01,lrg_roller_skates_01,clr_roller_skates_02,exp_roller_skates_02,lrg_roller_skates_02,clr_pho_01,exp_pho_01,lrg_pho_01,clr_poboy_01,exp_poboy_01,lrg_poboy_01,clr_zucchini_01,exp_zucchini_01,lrg_zucchini_01,clr_salmon,exp_salmon,lrg_salmon,clr_sandwich_2,exp_sandwich_2,lrg_sandwich_2,clr_sandwich_3,exp_sandwich_3,lrg_sandwich_3,clr_sandwich_5,exp_sandwich_5,lrg_sandwich_5,clr_shrimp_02,exp_shrimp_02,lrg_shrimp_02,clr_skateboard_06,exp_skateboard_06,lrg_skateboard_06,clr_popcorn_01,exp_popcorn_01,lrg_popcorn_01,clr_poutine_01,exp_poutine_01,lrg_poutine_01,clr_snorkling_3,exp_snorkling_3,lrg_snorkling_3,clr_soup_03,exp_soup_03,lrg_soup_03,clr_samosas_01,exp_samosas_01,lrg_samosas_01,clr_starfruit_01,exp_starfruit_01,lrg_starfruit_01,clr_tempeh_01,exp_tempeh_01,lrg_tempeh_01,clr_tart1,exp_tart1,lrg_tart1,clr_violin_2,exp_violin_2,lrg_violin_2,clr_tofu_01,exp_tofu_01,lrg_tofu_01,clr_yulelog_01,exp_yulelog_01,lrg_yulelog_01,clr_wrap_02,exp_wrap_02,lrg_wrap_02,clr_yarn_5,exp_yarn_5,lrg_yarn_5,participant_ratings_complete,post_study_survey_timestamp,how_was_study,purpose_1,difficulties,post_study_survey_complete,payment_timestamp,payment_complete
1,,"2021-09-14 17:51:05",613eacdc01a113faeafcb9cd,61411935e9f7a174879c8fcc,6140d2bf320df68dc96327b1,2,"2021-09-14 17:51:25",1,2,"2021-09-14 17:52:05",3,,22,1,,1,,NA,0,0,0,0,0,1,0,2,"2021-09-14 17:52:49",1,48,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0
2,,"2021-09-14 17:52:23",5ee8e28f8ebaec0b3e1d1b57,6141192dd0ae33804f51cfa8,6140d2bf320df68dc96327b1,2,"2021-09-14 17:52:53",1,2,"2021-09-14 17:53:42",1,,21,2,portugal,2,2,Student,0,0,0,0,1,0,0,2,"2021-09-14 17:54:16",1,100,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0
3,,"2021-09-14 17:56:29",6140e1974c9dae116f8dbcc4,61411a82bb3043dfe2960d5a,6140d2bf320df68dc96327b1,2,"2021-09-14 17:56:43",1,2,"2021-09-14 17:57:09",2,,23,1,,1,,Translator,0,0,0,0,0,1,0,2,"2021-09-14 17:57:17",1,71,2,,2,"2021-09-14 18:42:10",,9,9,9,9,1,4,8,2,3,9,8,3,7,1,1,5,6,2,4,5,3,2,8,6,5,7,7,3,5,2,2,2,2,5,3,4,4,6,4,4,1,1,10,4,3,10,2,1,10,1,1,10,1,1,2,9,3,4,9,7,4,9,6,4,6,2,4,6,4,5,9,6,3,2,3,8,3,3,4,8,3,2,10,3,3,10,2,10,1,3,3,5,3,10,3,3,7,2,2,4,3,2,5,4,1,3,2,3,2,2,2,3,3,1,3,1,4,2,9,5,10,4,5,2,1,2,3,2,2,10,2,3,7,2,2,2,2,2,2,2,3,4,9,7,10,6,6,2,10,10,1,10,10,3,10,10,8,1,4,10,2,2,10,1,1,10,2,2,10,2,2,10,2,2,4,10,7,5,10,7,9,6,3,7,7,4,8,7,4,3,7,5,1,1,1,3,4,4,8,2,3,8,4,2,9,4,3,8,5,4,4,10,5,10,1,2,7,2,3,6,3,3,9,2,2,7,3,6,8,2,2,9,1,3,9,3,3,7,10,5,4,9,6,10,3,2,10,3,2,10,1,1,3,10,9,2,10,9,5,3,2,7,3,2,5,3,3,10,3,3,8,4,2,9,3,2,5,9,4,4,9,6,10,1,3,6,3,3,4,8,6,8,8,5,8,2,2,8,3,3,7,1,4,10,5,3,8,2,3,8,2,3,7,3,3,8,5,3,8,9,6,8,2,3,5,1,2,4,5,4,5,3,3,4,2,3,8,3,2,8,5,3,8,4,3,5,10,6,9,3,3,7,3,3,9,2,3,10,1,3,2,"2021-09-14 18:42:26","It's very long","Word association",No,2,"2021-09-14 18:42:29",2
4,,"2021-09-14 18:02:46",5caa8efdf9a1bd0001ada0de,61411bb2bd96182ae0b029db,6140d2bf320df68dc96327b1,2,"2021-09-14 18:02:56",1,2,"2021-09-14 18:03:11",1,,23,1,,1,,IT/QA,0,0,0,0,1,0,0,2,"2021-09-14 18:03:31",1,100,2,"[not completed]",2,"2021-09-14 19:00:21",,7,4,4,8,1,1,8,1,1,4,2,2,4,1,1,2,1,1,2,1,1,1,4,4,5,3,3,2,2,1,2,2,2,4,3,3,3,3,4,3,2,2,4,2,1,7,2,1,5,2,1,5,2,2,1,6,4,3,4,3,4,5,5,4,5,2,4,2,2,2,7,4,3,2,2,3,2,2,2,2,2,2,4,2,2,3,2,3,1,1,5,4,2,3,4,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,1,2,2,2,1,2,3,1,3,3,4,2,2,2,1,1,2,1,1,2,2,1,3,1,1,1,1,1,1,2,2,3,5,4,3,3,3,1,8,8,1,8,8,1,9,9,4,2,3,4,2,3,3,1,1,2,1,1,3,1,1,2,1,1,3,5,3,5,5,4,3,3,3,2,3,3,4,4,2,2,5,3,1,2,2,2,2,2,3,3,2,3,2,2,3,2,2,2,3,3,1,6,4,3,3,3,2,2,1,2,2,2,4,2,2,2,2,2,1,2,2,6,2,2,8,2,2,6,4,3,3,2,3,4,3,2,4,3,3,4,3,2,1,8,7,1,8,7,2,3,3,4,3,3,3,3,3,6,2,2,2,2,2,2,2,2,3,5,3,3,4,5,4,3,2,2,2,2,1,4,3,5,4,3,2,2,2,3,2,2,2,1,2,2,3,3,3,2,3,3,2,3,3,2,3,3,3,3,5,4,4,2,3,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,6,2,2,5,3,3,2,5,5,3,2,2,3,2,2,3,3,2,4,2,3,2,"2021-09-14 19:00:52","Rather tedious at the end but interactive in the middle","No clue but I'm stupid","None at all",2,,0
5,,"2021-09-14 18:04:08",6126a42c23eb50441fb8377f,61411c355b541e14a54769db,6140d2bf320df68dc96327b1,2,"2021-09-14 18:04:33",1,2,"2021-09-14 18:05:10",2,,20,1,,1,,Secretary,0,0,0,0,0,1,0,2,"2021-09-14 18:05:42",1,97,2,,2,"2021-09-14 19:07:11",,7,8,7,7,1,1,4,1,1,8,4,3,3,3,2,2,4,2,4,5,2,2,7,8,4,7,6,4,6,1,2,1,2,6,4,5,4,7,6,4,1,2,10,4,2,10,3,1,8,3,2,6,3,2,1,9,9,5,9,9,6,8,9,4,8,4,3,6,4,2,10,7,3,2,2,4,2,3,2,4,3,2,10,7,3,8,7,4,3,1,5,6,1,7,4,3,1,1,2,1,1,2,2,2,2,2,3,3,1,1,1,2,3,1,3,5,4,3,9,8,6,4,5,2,2,2,3,3,1,8,2,2,3,3,2,2,1,1,2,4,2,5,10,8,6,5,5,2,10,10,1,10,10,2,10,10,4,2,3,4,3,4,4,2,2,3,3,2,4,2,2,2,2,2,5,9,7,3,9,7,6,5,4,6,4,4,6,7,4,2,6,4,1,1,1,2,2,2,2,3,2,1,3,3,5,3,2,5,6,3,2,7,5,10,3,2,2,2,2,3,3,2,8,3,2,3,4,4,3,3,2,10,5,4,10,5,4,10,7,6,8,7,5,10,3,2,7,3,3,10,3,2,2,10,10,2,10,10,3,4,3,5,4,4,3,3,4,5,6,1,5,3,3,4,4,3,4,7,6,1,7,6,5,1,3,1,1,2,2,5,5,6,6,5,4,3,3,4,3,3,3,1,2,6,4,3,4,3,3,4,2,3,5,4,3,7,3,3,5,6,7,6,3,3,2,1,3,2,5,4,3,2,3,4,3,3,4,3,2,6,5,4,8,4,4,2,8,6,8,4,3,6,4,4,5,2,2,8,2,2,2,"2021-09-14 19:09:08","At first it was kind of hard to set the boundaries on what would be considered large, and what is expensive. I mean it still was hard because a chicken sandwich is going to be a 1 compared to a piano.","Getting an idea of what is cheap and what is expensive to people",No,2,"2021-09-14 19:09:10",2
6,,"2021-09-14 18:11:16",613ceb832d8738df617e7266,61411dc9ebb27c9a9ef17b0b,6140d2bf320df68dc96327b1,2,"2021-09-14 18:11:24",1,2,"2021-09-14 18:12:15",1,,22,2,Mexico,1,,Unemployed,0,0,0,0,1,0,0,2,"2021-09-14 18:12:28",1,100,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0
7,,"2021-09-14 18:12:42",5e710a6e93f2d201e2715cc0,61411dd25b541e14a54769e9,6140d2bf320df68dc96327b1,2,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0
8,,"2021-09-14 18:14:02",5e710a6e93f2d201e2715cc0,61411dd25b541e14a54769e9,6140d2bf320df68dc96327b1,2,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0
9,,"2021-09-14 18:16:47",5e710a6e93f2d201e2715cc0,61411dd25b541e14a54769e9,6140d2bf320df68dc96327b1,2,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0
10,,"2021-09-14 18:18:03",5e710a6e93f2d201e2715cc0,61411dd25b541e14a54769e9,6140d2bf320df68dc96327b1,2,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0
